city,location,mean,std,count,volatility
Islamabad,G-7,21383735.29411765,28488715.69726025,34,1.3322609593421724
Islamabad,G-8,13933215.151515152,13986009.169142645,165,1.0037890764660842
Islamabad,G-9,14536069.026548672,18296753.64429091,565,1.2587140038254994
Islamabad,GT Road,4151450.0,2268656.4879959933,20,0.5464732775285728
Islamabad,Garden Town,6548538.461538462,4069263.3775534164,13,0.6214002409016035
Islamabad,Ghauri Town,6101103.55987055,6113058.46703082,927,1.001959466356038
Islamabad,Golra Mor,7516363.636363637,5561034.566925965,11,0.7398570420438512
Islamabad,Golra Road,21179250.0,23215280.64838617,4,1.0961332742371033
Islamabad,Green Avenue,9632609.75609756,15693327.043609379,82,1.6291874622736906
Islamabad,Green Hills Housing Scheme,22000.0,,1,0.0
Islamabad,Gulberg,11527988.118811881,15067387.023967275,505,1.307026592036441
Islamabad,Gulshan-e-Khudadad,6643684.2105263155,4961974.573948825,19,0.7468709253349257
Islamabad,H-11,10000000.0,7071067.811865475,2,0.7071067811865475
Islamabad,H-12,4404285.714285715,3002779.8628540696,7,0.6817858916632659
Islamabad,H-13,6485556.900726392,17721495.035540637,413,2.7324554092734585
Islamabad,H-15,7942857.142857143,5834340.049184981,7,0.7345392148254473
Islamabad,H-8,100000.0,,1,0.0
Islamabad,H-9,138833333.33333334,183109484.55318564,3,1.3189158551249864
Islamabad,I-10,6031760.721247563,9389685.038589388,1026,1.5567071494585578
Islamabad,I-11,5677071.428571428,4021020.791682488,21,0.7082913861970437
Islamabad,I-12,14098333.333333334,36406900.559280425,21,2.5823549279546345
Islamabad,I-13,6372483.870967742,5543382.546610374,31,0.8698935389802
Islamabad,I-14,9476531.468531469,6819445.38635833,143,0.7196140707181238
Islamabad,I-16,10102375.0,24105032.05245743,16,2.3860757547069307
Islamabad,I-8,11920541.602465332,25091428.82328219,2596,2.1048900008111158
Islamabad,I-9,10780878.260869564,11038578.463453595,115,1.0239034516806838
Islamabad,IJP Road,10479600.0,16707524.387399696,10,1.5942902770525302
Islamabad,Ibn-e-Sina Road,39000.0,4242.640687119285,4,0.10878565864408422
Islamabad,Iqbal Town,14166666.666666666,7941452.428030194,6,0.5605731125668373
Islamabad,Islamabad - Murree Expressway,7781517.24137931,5761289.97596824,29,0.7403813160410121
Islamabad,Islamabad Enclave,400000.0,,1,0.0
Islamabad,Islamabad Expressway,6306246.153846154,6051728.727786097,65,0.9596404231850626
Islamabad,Islamabad Highway,13051312.5,39715848.28410976,80,3.043053967492523
Islamabad,Islamabad View Valley,7000000.0,,1,0.0
Islamabad,"Islamabad, Islamabad Capital",4300000.0,,1,0.0
Islamabad,Jagiot Road,3100000.0,,1,0.0
Islamabad,Japan Road,3500000.0,0.0,2,0.0
Islamabad,Jhang Syedan,3560611.111111111,2740101.117474851,18,0.7695592222706359
Islamabad,Jhangi Syedan,4915310.810810811,3884302.481626369,37,0.7902455472567826
Islamabad,Jinnah Avenue,28066666.666666668,6323817.412502252,6,0.22531415959034148
Islamabad,Judicial Town,10918600.0,12650845.41839003,5,1.158650872675071
Islamabad,Kahuta Road,4200000.0,,1,0.0
Islamabad,Kahuta Triangle Industrial Area,23040.0,56.568542494923804,2,0.002455231879119957
Islamabad,Karakoram Diplomatic Enclave,19334769.230769232,24845897.43161205,39,1.285037185345478
Islamabad,Karakoram Enclave 1,55000000.0,,1,0.0
Islamabad,Kashmir Highway,32546093.75,61445303.55152714,32,1.88794710737067
Islamabad,Khanna Pul,5871645.161290322,3731895.0105666784,31,0.6355791108035174
Islamabad,Khayaban-e-Iqbal,700000.0,,1,0.0
Islamabad,Koral Chowk,3654724.1379310344,2717619.072125868,29,0.7435907525606931
Islamabad,Koral Town,5422666.666666667,6416708.37586939,15,1.1833123388006004
Islamabad,Korang Road,799923.0769230769,2764324.3738009008,13,3.4557377497270614
Islamabad,Korang Town,8229995.575221239,10716093.555747628,226,1.3020776813065975
Islamabad,Kuri,10500000.0,707106.7811865475,2,0.06734350297014738
Islamabad,Kuri Model Town,16250000.0,9545941.546018392,2,0.5874425566780549
Islamabad,Kuri Road,14078160.714285715,33415531.76417805,56,2.3735722614865358
Islamabad,Lawyers Society,5800000.0,,1,0.0
Islamabad,Lehtarar Road,6183469.879518072,15053714.607897712,83,2.4345092482395936
Islamabad,Madina Town,4200571.428571428,3265508.1761269025,14,0.7773961785093293
Islamabad,Malot,80000000.0,,1,0.0
Islamabad,Malpur,20000.0,0.0,2,0.0
Islamabad,Margalla Town,7532730.769230769,23912032.983293273,78,3.1744175805363524
Islamabad,Marwa Town,6343125.0,3645584.9439196084,16,0.5747301123530765
Islamabad,Meherban Colony,17589384.615384616,40204924.83211989,13,2.285749371638307
Islamabad,Model Town,12500000.0,4949747.468305833,2,0.3959797974644666
Islamabad,Motorway Chowk,10591842.105263159,11114770.10440091,19,1.0493708265229809
Islamabad,Multi Residencia & Orchards,9488888.888888888,3755144.6192005854,9,0.3957412362155184
Islamabad,Mumtaz City,28420000.0,23915099.832532585,5,0.8414883825662416
Islamabad,Murree Road,38005555.55555555,72619901.73346269,9,1.9107706931769164
Islamabad,NHA Housing Society,200000.0,,1,0.0
Islamabad,NIH Colony,15586666.666666666,18063366.980346344,6,1.1588986514336834
Islamabad,National Police Foundation,11143847.826086957,20291243.48300219,92,1.8208471436142397
Islamabad,National Police Foundation O-9,7597203.296703297,10356362.72968697,273,1.3631809397783226
Islamabad,National Town,13500.0,,1,0.0
Islamabad,Naval Anchorage,10329257.94117647,17486354.443813752,170,1.6928955151856835
Islamabad,Naval Farms Housing Scheme,99285714.28571428,39800325.803514905,14,0.40086659082676884
Islamabad,Nazim-ud-din Road,271000.0,323854.90578343876,2,1.1950365527064162
Islamabad,New Airport Town,16000.0,,1,0.0
Islamabad,New Shakrial,4904000.0,3916390.211114603,8,0.7986113807329941
Islamabad,OPF Valley,2800000.0,,1,0.0
Islamabad,Orchard Scheme,183212500.0,237091713.5308613,4,1.294080445007089
Islamabad,Others,7084444.444444444,6083223.058361231,9,0.8586732673345527
Islamabad,PAEC Employees Cooperative Housing Society,8333333.333333333,1984313.483298443,9,0.23811761799581319
Islamabad,PAF Tarnol,2539000.0,5568397.884490655,5,2.1931460750258585
Islamabad,PECHS,11250000.0,3889087.2965260115,2,0.3456966485800899
Islamabad,PTV Colony,4500000.0,,1,0.0
Islamabad,PWD Housing Scheme,5881364.779874214,8850610.115841256,636,1.5048565166587995
Islamabad,PWD Road,10614490.02,29797759.31516342,50,2.807271876370695
Islamabad,Pakistan Intelligence Bureau Housing Society,11833333.333333334,3013856.886670854,3,0.2546921312679595
Islamabad,Pakistan Town,7357831.295843521,9953311.25601999,409,1.3527506755479255
Islamabad,Park Enclave,110000.0,,1,0.0
Islamabad,Park Road,9812464.285714285,11803548.018011028,28,1.2029137303659296
Islamabad,Park View City,28500000.0,21344642.18486691,17,0.7489348135041021
Islamabad,Partal Town,3850000.0,1511070.2608857516,4,0.3924857820482472
Islamabad,Phulgran,8333333.333333333,1258305.7392117917,3,0.150996688705415
Islamabad,Pindorian,4910000.0,1912589.867169645,5,0.38952950451520263
Islamabad,Pir Sohawa,11327041.666666666,14476535.471550435,24,1.2780508713190428
Islamabad,Police Foundation Housing Society,9590333.333333334,5829319.056859614,6,0.607832788939517
Islamabad,Qutbal Town,4651714.285714285,3012848.138350472,7,0.6476855527440976
Islamabad,Raja Akhtar Road,15775000.0,13971488.82546166,4,0.8856728257027994
Islamabad,Rawal Enclave,3233333.3333333335,2731910.198621714,3,0.8449206799860971
Islamabad,Rawal Town,12644733.333333334,16197256.118891012,15,1.2809488102206725
Islamabad,River Garden,6091395.604395605,5403868.815496132,91,0.8871314829062575
Islamabad,Royal Avenue,9848500.0,10603030.468646577,22,1.0766137451029676
Islamabad,Royal City,4320500.0,4104311.9486009553,8,0.9499622609885326
Islamabad,Sangjani,39950000.0,42497117.549311504,2,1.0637576357775096
Islamabad,Sarai Kharbuza,4425000.0,1696626.5548631102,7,0.38341843047753904
Islamabad,Sehala Farm House,75000000.0,,1,0.0
Islamabad,Shah Allah Ditta,20756777.777777776,16548167.940379579,18,0.7972416584859362
Islamabad,Shah Dara,33500000.0,37476659.40288702,2,1.1187062508324483
Islamabad,Shaheen Town,6643020.833333333,3959980.1712891883,48,0.5961113581668764
Islamabad,Shahpur,4200000.0,4553599.831844189,15,1.0841904361533783
Islamabad,Shehzad Town,3748400.0,8186528.224143974,35,2.1840060356802833
Islamabad,Sihala,15500000.0,,1,0.0
Islamabad,Sihala Valley,3700000.0,,1,0.0
Islamabad,Simly Dam Road,59029166.666666664,114738194.88583966,30,1.943754272083117
Islamabad,Soan Garden,7585402.17877095,8394163.454541057,716,1.1066207508460875
Islamabad,Sohan Valley,6149555.555555556,3839495.641067688,9,0.6243533547069199
Islamabad,Spring Valley,6334333.333333333,7516857.820924911,9,1.1866849162119
Islamabad,Swan Garden,7840724.137931035,7254412.897858161,29,0.9252223098582848
Islamabad,Taramrri,3999955.882352941,3341126.906534741,34,0.8352909394013993
Islamabad,Tarlai,20964552.63157895,43398454.074283525,38,2.0700872962541705
Islamabad,Tarnol,7662065.7894736845,9811240.637154372,38,1.280495483428669
Islamabad,Thalian,6356250.0,4262157.855280977,4,0.6705459752654437
Islamabad,Thanda Pani,4612181.818181818,3569473.479065073,22,0.7739229761050933
Islamabad,The Springs,7480176.470588235,5747838.063516731,17,0.768409420034007
Islamabad,Top City 1,4867500.0,4370510.757990911,8,0.8978964063669052
Islamabad,Tumair,102066666.66666667,171417657.58909824,3,1.6794675792530853
Islamabad,University Town,4460000.0,4801541.419169473,3,1.0765787935357565
Islamabad,Victoria Heights,25000.0,,1,0.0
Islamabad,Wapda Town,6900000.0,141421.35623730952,2,0.02049584873004486
Islamabad,Zaraj Housing Scheme,13315100.0,10839857.174374813,72,0.8141025733471632
Islamabad,Zero Point,5422700.0,6995652.904959383,10,1.290068214166261
Islamabad,Zone 5,18500000.0,2121320.343559643,2,0.11466596451673745
Karachi,APP Employees Co-operative Housing Society,39000000.0,0.0,2,0.0
Karachi,ASF Housing Scheme,4664000.0,2066200.3775045634,4,0.44301037253528375
Karachi,ASF Tower,5461538.461538462,1901113.0343119446,13,0.34809111895852507
Karachi,Abdullah Ahmed Road,45966666.666666664,72782575.75363305,3,1.5833772825300882
Karachi,Abdullah Haroon Road,17161111.111111112,17831253.772831317,9,1.0390500741695166
Karachi,Abid Town,8395894.736842105,9118716.057859223,19,1.086092232415123
Karachi,Abul Hassan Isphani Road,7484119.760479042,11108915.54509173,167,1.4843316115482192
Karachi,Ahsan Grand City,52000.0,,1,0.0
Karachi,Airport,13517112.24489796,8419263.539899524,98,0.6228596306195044
Karachi,Aisha Manzil,10329591.836734693,14104949.847657448,49,1.3654895634401165
Karachi,Al-Hilal Society,18446333.333333332,22445575.11488835,15,1.216804158815032
Karachi,Al-Jadeed Residency,7978571.428571428,6630601.854460947,7,0.8310512619736192
Karachi,Al-Manzar Society,9800000.0,4071240.5971644567,5,0.41543271399637316
Karachi,Al-Safaa Garden,5750000.0,3181980.515339464,2,0.5533879157112112
Karachi,Allama Iqbal Town,48500000.0,44547727.214752495,2,0.9185098394794329
Karachi,Altaf Hussain Road,1768000.0,3488006.0206370056,4,1.9728540840707045
Karachi,Amil Colony,26707000.0,22521265.03749043,10,0.8432719900209844
Karachi,Amir Khusro,26101617.021276597,31909292.880147126,47,1.2225025313234974
Karachi,Anda Mor Road,7196620.0,5305657.878780601,25,0.7372430222494172
Karachi,Azam Town,11017285.714285715,7956130.95130326,21,0.722149825068695
Karachi,BMCHS,13072777.777777778,13214584.062483557,9,1.0108474485772132
Karachi,Bagh-e-Korangi,13095238.095238095,10310939.636642056,21,0.7873808449799388
Karachi,Bahria Town Karachi,11291870.496022461,7413688.7521797735,8548,0.6565509899171471
Karachi,Baldia Town,5432609.375,7777172.517482396,32,1.4315721931474958
Karachi,Baloch Colony,23379444.444444444,33672594.89250675,27,1.4402649717584808
Karachi,Bath Island,27563357.98816568,27354100.773389015,338,0.9924081378304301
Karachi,Beaumont Road,16000.0,,1,0.0
Karachi,Bilal Town,9666666.666666666,2753785.273643051,3,0.28487433865272943
Karachi,Bin Qasim Town,9868480.349344978,11767176.173644455,229,1.1924000207818728
Karachi,Blue Bell Residency,30500000.0,34648232.27814083,2,1.1360076156767485
Karachi,Britto Road,9012700.0,8639173.54650702,10,0.9585555434561251
Karachi,Cantt,29405377.777777776,32508294.001853354,1620,1.105522066321505
Karachi,Catholic Colony,15000000.0,5220153.254455275,3,0.348010216963685
Karachi,Chapal Courtyard,11616666.666666666,8704117.799447952,6,0.7492784332379873
Karachi,Chapal Skymark,41250000.0,1767766.9529663688,2,0.04285495643554833
Karachi,Chapal Uptown,8634000.0,1437108.2074777808,5,0.1664475570393538
Karachi,Civil Lines,24328809.523809522,25778846.2760147,210,1.0596016319987254
Karachi,Clifton,22184013.845350053,44489300.864480734,1914,2.0054666921246107
Karachi,Cosmopolitan Society,18467142.85714286,14188071.624733625,21,0.7682873162615871
Karachi,Cotton Export Cooperative Housing Society,9187500.0,3454784.4671246447,8,0.3760309624081246
Karachi,Cutchi Memon Cooperative Housing Society,102032000.0,109982394.63154495,10,1.0779205997289572
Karachi,DHA City Karachi,31826551.724137932,47087354.196054906,29,1.479499086303555
Karachi,DHA Defence,43411001.10094262,67512351.6746573,10927,1.5551899279556431
Karachi,Dalmia Cement Factory Road,12855555.555555556,9963697.997118229,9,0.7750499738467075
Karachi,Damba,43333.333333333336,14571.661996262928,3,0.33626912299068296
Karachi,Darul Aman Society,125000000.0,58022983.95176403,4,0.46418387161411223
Karachi,Dastgir Colony,10526787.234042553,9291676.335713573,47,0.8826697195574773
